date,shift,team_leader,group,part_number,PO_number,qty_launched,shift_norm,PO_status,tube_fitting,QC_isual,QC_imension,QC_softness,QC_overlap,QC_rubber,OK_qty,scrap_softness,scrap_overlap,scrap_welding,scrap_deformation,scrap_holes,scrap_rubber,scrap_tube,total_scrap,scrap%,Break
2025-01-01,Morning,John,1,100005078.00.06,4000001,765,750,open,ok,ok,ok,nok,nok,ok,751,8,3,0,0,3,0,0,14,"1,83",10:00-10:30
2025-01-01,Morning,John,1,100005081.00.05,4000001,765,750,open,na,ok,ok,nok,nok,ok,756,4,3,0,2,0,0,0,9,"1,18",10:00-10:30
2025-01-01,Morning,John,1,100005058.00.05,4000001,765,750,open,na,ok,ok,nok,nok,ok,758,3,3,0,0,1,0,0,7,"0,92",10:00-10:30
2025-01-01,Afternoon,Alex,1,100005078.00.06,4000001,435,720,CLOSED,ok,ok,ok,nok,nok,ok,431,2,1,0,1,0,0,0,4,"0,92",18:00-18:30
2025-01-01,Afternoon,Alex,1,100005081.00.05,4000001,435,720,CLOSED,na,ok,ok,nok,nok,ok,427,5,1,0,2,0,0,0,8,"1,84",18:00-18:30
2025-01-01,Afternoon,Alex,1,100005058.00.05,4000001,435,720,CLOSED,na,ok,ok,nok,nok,ok,431,2,1,0,1,0,0,0,4,"0,92",18:00-18:30
2025-01-01,Afternoon,Alex,1,100005078.00.06,4000004,309,720,open,ok,ok,ok,nok,ok,ok,306,2,0,0,1,0,0,0,3,"0,97",18:00-18:30
2025-01-01,Afternoon,Alex,1,100005081.00.05,4000004,309,720,open,na,ok,ok,nok,ok,ok,307,1,0,0,0,1,0,0,2,"0,65",18:00-18:30
2025-01-01,Afternoon,Alex,1,100005058.00.05,4000004,309,720,open,na,ok,ok,nok,nok,ok,305,2,1,1,0,0,0,0,4,"1,29",18:00-18:30
2025-01-02,Morning,John,2,100005035.00.03,4000002,726,750,open,na,ok,ok,nok,ok,ok,723,2,0,0,0,1,0,0,3,"0,41",10:00-10:30
2025-01-02,Morning,John,2,100005039.00.04,4000002,726,750,open,na,ok,ok,nok,nok,ok,717,6,2,1,0,0,0,0,9,"1,24",10:00-10:30
2025-01-02,Afternoon,Alex,2,100005035.00.03,4000002,474,720,CLOSED,na,ok,ok,nok,ok,ok,472,1,0,1,0,0,0,0,2,"0,42",18:00-18:30
