"month_1","scrap_softness_pct","scrap_overlap_pct","scrap_welding_pct","scrap_deformation_pct","scrap_holes_pct","scrap_rubber_pct","scrap_tube_pct"
"2025-01",56.26,22.27,7.64,6.32,7.51,0.0,0.0
"2025-02",54.64,23.09,6.15,7.92,8.2,0.0,0.0
"2025-03",56.67,21.16,8.26,7.68,6.23,0.0,0.0
"2025-04",55.92,21.66,8.56,7.3,6.55,0.0,0.0
"2025-05",56.98,21.0,4.74,8.83,8.32,0.0,0.13
"2025-06",55.48,22.32,10.7,4.49,7.0,0.0,0.0
"2025-07",55.79,22.04,6.8,7.68,7.56,0.0,0.13
"2025-08",55.18,21.57,7.56,7.42,8.26,0.0,0.0
"2025-09",56.14,22.25,7.63,6.99,6.99,0.0,0.0
"2025-10",56.11,21.57,7.86,7.86,6.61,0.0,0.0
"2025-11",55.48,21.21,6.18,7.87,9.27,0.0,0.0
"2025-12",55.01,22.05,8.37,8.24,6.34,0.0,0.0
